`PatentsView`.`temp_id_mapping_assignee`,`PatentsView`.`temp_patent_firstnamed_assignee`
`PatentsView`.`temp_id_mapping_assignee`,`PatentsView`.`patent_assignee`
`PatentsView`.`temp_id_mapping_assignee`,`PatentsView`.`location_assignee`
`PatentsView`.`temp_id_mapping_assignee`,`PatentsView`.`assignee`
`patent`.`patent_assignee`,`PatentsView`.`temp_id_mapping_assignee`
`patent`.`patent_assignee`,`PatentsView`.`temp_assignee_num_patents`
`patent`.`patent_assignee`,`PatentsView`.`temp_assignee_num_inventors`
`patent`.`patent_assignee`,`PatentsView`.`temp_assignee_years_active`
`patent`.`patent_assignee`,`PatentsView`.`patent_assignee`
`patent`.`patent_assignee`,`PatentsView`.`temp_inventor_num_assignees`
`patent`.`patent_assignee`,`PatentsView`.`temp_lawyer_num_assignees`
`patent`.`patent_assignee`,`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`
`patent`.`patent_assignee`,`PatentsView`.`temp_cpc_current_group_aggregate_counts`
`patent`.`patent_assignee`,`PatentsView`.`temp_ipcr_aggregations`
`patent`.`patent_assignee`,`PatentsView`.`temp_nber_subcategory_aggregate_counts`
`patent`.`patent_assignee`,`PatentsView`.`temp_mainclass_current_aggregate_counts`
`PatentsView`.`temp_id_mapping_inventor`,`PatentsView`.`temp_patent_firstnamed_inventor`
`PatentsView`.`temp_id_mapping_inventor`,`PatentsView`.`patent_inventor`
`PatentsView`.`temp_id_mapping_inventor`,`PatentsView`.`location_inventor`
`PatentsView`.`temp_id_mapping_inventor`,`PatentsView`.`inventor`
`patent`.`patent_inventor`,`PatentsView`.`temp_id_mapping_inventor`
`patent`.`patent_inventor`,`PatentsView`.`temp_assignee_num_inventors`
`patent`.`patent_inventor`,`PatentsView`.`temp_inventor_num_patents`
`patent`.`patent_inventor`,`PatentsView`.`temp_inventor_num_assignees`
`patent`.`patent_inventor`,`PatentsView`.`temp_inventor_years_active`
`patent`.`patent_inventor`,`PatentsView`.`patent_inventor`
`patent`.`patent_inventor`,`PatentsView`.`temp_lawyer_num_inventors`
`patent`.`patent_inventor`,`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`
`patent`.`patent_inventor`,`PatentsView`.`temp_cpc_current_group_aggregate_counts`
`patent`.`patent_inventor`,`PatentsView`.`temp_ipcr_aggregations`
`patent`.`patent_inventor`,`PatentsView`.`temp_nber_subcategory_aggregate_counts`
`patent`.`patent_inventor`,`PatentsView`.`temp_mainclass_current_aggregate_counts`
`PatentsView`.`temp_id_mapping_lawyer`,`PatentsView`.`patent_lawyer`
`PatentsView`.`temp_id_mapping_lawyer`,`PatentsView`.`lawyer`
`patent`.`patent_lawyer`,`PatentsView`.`temp_id_mapping_lawyer`
`patent`.`patent_lawyer`,`PatentsView`.`temp_lawyer_num_patents`
`patent`.`patent_lawyer`,`PatentsView`.`temp_lawyer_num_assignees`
`patent`.`patent_lawyer`,`PatentsView`.`temp_lawyer_num_inventors`
`patent`.`patent_lawyer`,`PatentsView`.`temp_lawyer_years_active`
`patent`.`patent_lawyer`,`PatentsView`.`patent_lawyer`
`PatentsView`.`temp_id_mapping_examiner`,`PatentsView`.`examiner`
`PatentsView`.`temp_id_mapping_examiner`,`PatentsView`.`patent_examiner`
`patent`.`rawexaminer`,`PatentsView`.`temp_id_mapping_examiner`
`patent`.`rawexaminer`,`PatentsView`.`examiner`
`patent`.`rawexaminer`,`PatentsView`.`patent_examiner`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`temp_id_mapping_location`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`temp_patent_firstnamed_assignee`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`temp_patent_firstnamed_inventor`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`temp_location_num_assignees`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`location`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`temp_assignee_lastknown_location`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`location_assignee`
`PatentsView`.`temp_id_mapping_location_transformed`,`PatentsView`.`temp_inventor_lastknown_location`
`patent`.`rawlocation`,`PatentsView`.`temp_id_mapping_location_transformed`
`patent`.`rawlocation`,`PatentsView`.`temp_id_mapping_location`
